Capacity,Cost,Location,ID
500,20,1A,d046c8da-a575-49e1-929f-d170ceb85dde
250,10,2.2,cde7b652-1d8c-4b14-9497-31feec72810f
250,10,1.1,18de12ed-9029-484c-893d-b09de6c52e07
250,10,1.1,23fa7b5b-1157-48b2-b4e8-029e335e931b
250,10,1.1,682d1014-2356-4882-b9ff-c85643827f3d
